anyo,fallecidos,siniestros,parque_vehicular,siniestros_std,parque_vehicular_std
1972,1792,26727,401114,-1.008817593,-1.111361348
1973,1719,23480,417767,-1.169351658,-1.100413883
1974,1269,18356,431172,-1.422685983,-1.091601612
1975,1054,16602,445693,-1.509405032,-1.082055696
1976,1079,17716,466049,-1.454328054,-1.068673928
1977,1071,19638,514180,-1.359302961,-1.037033239
1978,1207,19623,589788,-1.360044572,-0.987329529
1979,1309,21506,608630,-1.266947669,-0.974943045
1980,1434,25606,797180,-1.064240656,-0.850992742
1981,1552,33536,863038,-0.67217563,-0.807698555
1982,1274,55272,912749,0.402468181,-0.775019194
1983,1363,47889,916360,0.037447237,-0.77264537
1984,1210,39207,930457,-0.391797223,-0.763378186
1985,1049,30751,944564,-0.809868076,-0.754104429
1986,1191,35268,962564,-0.586544277,-0.742271465
1987,1198,32790,972042,-0.709058418,-0.736040752
1988,1248,34226,985843,-0.638061523,-0.726968155
1989,1465,37217,1018255,-0.490184285,-0.70566093
1990,1587,39479,1074228,-0.378349343,-0.668865012
1991,1602,40368,1174194,-0.33439653,-0.603148672
1992,1700,43402,1356503,-0.18439334,-0.483301121
1993,1760,44837,1476128,-0.113445886,-0.404661212
1994,1762,44236,1508957,-0.143159768,-0.383079857
1995,1890,50790,1678675,0.180874808,-0.271509465
1996,1925,57775,1826137,0.52621834,-0.174569876
1997,1883,52394,1988647,0.260177747,-0.067737928
1998,1959,49890,2024510,0.136378147,-0.044162061
1999,1655,47052,2145437,-0.003934658,0.035333766
2000,1698,40926,2128855,-0.3068086,0.024432976
2001,1562,44831,2176501,-0.11374253,0.055754833
2002,1549,41734,2218062,-0.266860486,0.083076491
2003,1703,44450,2195878,-0.13257945,0.068493019
2004,1757,46620,2298620,-0.025293056,0.136034266
2005,1626,46328,2351662,-0.03972975,0.170903382
2006,1652,44839,2657892,-0.113347005,0.372214977
2007,1645,53682,2824570,0.323857413,0.481786913
2008,1782,57087,3023050,0.492203115,0.612265067
2009,1508,56330,3139088,0.454776479,0.68854693
2010,1595,57746,3375523,0.524784559,0.843976205
2011,1573,62834,3654727,0.776339018,1.027521261
2012,1523,61791,3973913,0.724772331,1.23734996
2013,1623,73276,4263084,1.29259917,1.427447192
2014,1630,78445,4568664,1.548158328,1.628331485
2015,1646,79880,4751130,1.619105782,1.748282245
2016,1675,91711,4960945,2.204039115,1.886211881
2017,1483,94879,5190704,2.360667363,2.037252441
2018,1507,89311,5498895,2.085381352,2.239853171
2019,1617,89983,5718409,2.118605526,2.384158802
